season,week,posteam,defteam,full_player_name,position,xFP_nonQB,ffpts_total_nonQB,xFP_left_short,xFP_middle_short,xFP_right_short,xFP_left_inter,xFP_middle_inter,xFP_right_inter,xFP_left_deep,xFP_middle_deep,xFP_right_deep
2019,3,BUF,CIN,Dawson Knox,TE,1.7231683731079102,5.9,0,0,0,0,0,0,5.9,0,0
2019,3,BUF,CIN,TJ Yeldon,RB,1.0030794143676758,0,0,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,Frank Gore,RB,2.908975124359131,6.1,6.1,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Auden Tate,WR,1.4146041870117188,0,0,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Giovani Bernard,RB,1.3127596378326416,1.2,1.2,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Auden Tate,WR,1.4146041870117188,2.2,0,0,0,0,2.2,0,0,0,0
2019,3,CIN,BUF,Auden Tate,WR,1.4469653367996216,2,0,0,0,0,2,0,0,0,0
2019,3,CIN,BUF,Tyler Boyd,WR,1.509877324104309,0,0,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Alex Erickson,WR,1.4307644367218018,2.3,0,0,0,0,0,2.3,0,0,0
2019,3,CIN,BUF,Giovani Bernard,RB,1.458933711051941,1.5,0,0,1.5,0,0,0,0,0,0
2019,3,CIN,BUF,Auden Tate,WR,1.7552406787872314,0,0,0,0,0,0,0,0,0,0
2019,3,GB,DEN,Marquez Valdes-Scantling,WR,1.4492908716201782,1.8,0,0,0,1.8,0,0,0,0,0
2019,3,GB,DEN,Aaron Jones,RB,0.4681262969970703,0.4,0,0,0.4,0,0,0,0,0,0
2019,3,GB,DEN,Marcedes Lewis,TE,1.4492908716201782,2.9000000000000004,0,0,0,0,0,2.9000000000000004,0,0,0
2019,3,GB,DEN,Jamaal Williams,RB,0.5046841502189636,0.4,0,0,0.4,0,0,0,0,0,0
2019,3,GB,DEN,Marquez Valdes-Scantling,WR,2.6533446311950684,11,0,0,0,0,0,0,0,11,0
2019,3,DEN,GB,Phillip Lindsay,RB,0.502403974533081,0.2,0.2,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Royce Freeman,RB,0.49971142411231995,-0.2,-0.2,0,0,0,0,0,0,0,0
2019,3,GB,DEN,Jamaal Williams,RB,0.5063023567199707,0.30000000000000004,0.30000000000000004,0,0,0,0,0,0,0,0
